,PLAYER,POSITION,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,AST,APG,TO,TOPG,AP48M,AST/TO
325,Mike Muscala,PF,ATL,40,12.6,4.9,2.1-3.8,.550,0.2-0.6,.409,0.6-0.6,.880,25,0.6,21,0.5,2.4,1.19
326,Lou Amundson,PF,CLE/NY,53,17.7,4.9,2.1-4.8,.427,0.0-0.0,.000,0.8-1.6,.471,70,1.3,62,1.2,3.6,1.13
327,Andrew Nicholson,PF,ORL,40,12.3,4.9,2.1-4.8,.437,0.3-1.0,.317,0.4-0.6,.600,22,0.6,24,0.6,2.1,0.92
328,Shawn Marion,SG,CLE,57,19.3,4.8,2.1-4.7,.446,0.2-0.8,.261,0.5-0.6,.765,51,0.9,33,0.6,2.2,1.55
329,Dante Exum,PG,UTAH,82,22.2,4.8,1.8-5.1,.349,1.0-3.2,.314,0.2-0.4,.625,198,2.4,118,1.4,5.2,1.68
330,Matthew Dellavedova,SG,CLE,67,20.6,4.8,1.7-4.6,.362,1.0-2.5,.407,0.4-0.6,.763,204,3.0,61,0.9,7.1,3.34
331,Damjan Rudez,SF,IND,68,15.4,4.8,1.8-3.9,.452,1.0-2.5,.406,0.2-0.3,.696,53,0.8,47,0.7,2.4,1.13
332,Bismack Biyombo,PF,CHA,64,19.4,4.8,1.6-2.9,.543,0.0-0.0,.000,1.6-2.7,.583,16,0.3,52,0.8,0.6,0.31
333,John Lucas III,PG,DET,21,13.0,4.7,2.0-5.0,.404,0.4-1.4,.310,0.2-0.2,1.000,60,2.9,16,0.8,10.6,3.75
334,Jordan Farmar,PG,LAC,36,14.7,4.6,1.7-4.4,.386,1.0-2.7,.361,0.3-0.3,.909,67,1.9,32,0.9,6.1,2.09
335,Sergey Karasev,SG,BKN,33,16.8,4.6,1.6-4.1,.403,0.5-1.6,.296,0.9-1.2,.763,46,1.4,24,0.7,4.0,1.92
336,JaVale McGee,C,DEN/PHI,23,11.1,4.6,1.8-3.4,.532,0.0-0.0,.000,1.0-1.4,.667,3,0.1,18,0.8,0.6,0.17
337,Markel Brown,SG,BKN,47,16.6,4.6,1.6-4.5,.362,0.4-1.4,.266,1.0-1.2,.825,39,0.8,27,0.6,2.4,1.44
338,Robert Sacre,C,LAL,67,16.9,4.6,1.9-4.6,.412,0.0-0.0,.000,0.8-1.2,.671,55,0.8,36,0.5,2.3,1.53
339,Dorell Wright,SF,POR,48,12.4,4.6,1.5-4.0,.379,0.9-2.3,.380,0.7-0.9,.810,41,0.9,18,0.4,3.3,2.28
340,Jannero Pargo,PG,CHA,9,8.1,4.6,1.7-3.9,.429,1.0-2.4,.409,0.2-0.2,1.000,8,0.9,3,0.3,5.3,2.67
341,Jon Leuer,PF,MEM,63,13.1,4.5,1.9-4.3,.443,0.1-0.5,.241,0.6-0.9,.627,46,0.7,35,0.6,2.7,1.31
342,Arinze Onuaku,PF,MIN,6,11.3,4.5,2.0-2.3,.857,0.0-0.0,.000,0.5-1.3,.375,4,0.7,2,0.3,2.8,2.00
343,Alonzo Gee,SF,DEN/POR,54,12.3,4.5,1.6-3.4,.468,0.2-0.6,.371,1.0-1.4,.701,25,0.5,33,0.6,1.8,0.76
344,Robbie Hummel,SF,MIN,45,16.5,4.4,1.8-3.8,.459,0.4-1.1,.314,0.5-0.6,.828,27,0.6,18,0.4,1.7,1.50
345,James Jones,SG,CLE,57,11.7,4.4,1.3-3.5,.368,1.1-3.1,.360,0.7-0.8,.848,24,0.4,13,0.2,1.7,1.85
346,Andre Miller,PG,SAC/WSH,81,15.5,4.4,1.8-3.6,.500,0.1-0.4,.206,0.7-1.0,.753,284,3.5,104,1.3,10.9,2.73
347,Jeff Taylor,SF,CHA,29,14.8,4.4,1.6-3.9,.395,0.4-1.2,.306,0.9-1.4,.634,22,0.8,19,0.7,2.5,1.16
348,Nik Stauskas,SG,SAC,73,15.4,4.4,1.5-4.1,.365,0.7-2.0,.322,0.8-0.9,.859,67,0.9,40,0.5,2.9,1.68
349,Festus Ezeli,C,GS,46,11.0,4.4,1.7-3.0,.547,0.0-0.0,.000,1.1-1.7,.628,9,0.2,32,0.7,0.9,0.28
350,Ian Mahinmi,C,IND,61,18.8,4.3,1.9-3.5,.552,0.0-0.0,.000,0.5-1.7,.304,33,0.5,59,1.0,1.4,0.56
351,Steve Blake,PG,POR,81,18.9,4.3,1.5-4.0,.373,1.0-2.7,.352,0.4-0.5,.707,288,3.6,104,1.3,9.0,2.77
352,Justin Holiday,SG,GS,59,11.1,4.3,1.5-4.0,.387,0.6-1.8,.321,0.6-0.8,.822,48,0.8,29,0.5,3.5,1.66
353,Perry Jones,SF,OKC,43,14.7,4.3,1.7-4.3,.397,0.3-1.4,.233,0.6-0.9,.649,18,0.4,24,0.6,1.4,0.75
354,Spencer Dinwiddie,PG,DET,34,13.4,4.3,1.5-5.0,.302,0.4-1.9,.185,0.9-1.0,.912,104,3.1,33,1.0,11.0,3.15
355,Toney Douglas,PG,NO,12,14.8,4.3,1.6-4.3,.373,0.4-1.5,.278,0.7-1.1,.615,24,2.0,10,0.8,6.5,2.40
356,Josh McRoberts,PF,MIA,17,17.4,4.2,1.6-3.1,.528,0.5-1.1,.421,0.5-0.8,.615,33,1.9,22,1.3,5.4,1.50
357,Kostas Papanikolaou,SF,HOU,43,18.5,4.2,1.6-4.6,.350,0.7-2.5,.292,0.3-0.4,.722,85,2.0,55,1.3,5.1,1.55
358,Kendall Marshall,PG,MIL,28,14.9,4.2,1.6-3.6,.455,0.6-1.6,.391,0.3-0.3,.889,86,3.1,35,1.3,9.9,2.46
359,Udonis Haslem,PF,MIA,62,16.0,4.2,1.7-3.9,.448,0.0-0.2,.200,0.7-1.0,.703,46,0.7,41,0.7,2.2,1.12
360,Lorenzo Brown,PG,MIN,29,18.9,4.2,1.8-4.2,.426,0.2-1.0,.214,0.4-0.7,.632,90,3.1,30,1.0,7.9,3.00
361,Nick Calathes,SG,MEM,58,14.4,4.2,1.8-4.3,.421,0.2-0.7,.256,0.4-0.8,.533,146,2.5,61,1.1,8.4,2.39
362,Nick Collison,PF,OKC,66,16.7,4.1,1.6-3.8,.419,0.2-0.9,.267,0.7-1.0,.692,90,1.4,45,0.7,3.9,2.00
363,James Michael McAdoo,SF,GS,15,9.1,4.1,1.6-2.9,.545,0.0-0.0,.000,0.9-1.7,.560,2,0.1,6,0.4,0.7,0.33
364,Pablo Prigioni,PG,HOU/NY,67,17.9,4.1,1.4-3.4,.399,0.9-2.5,.343,0.5-0.6,.854,171,2.6,62,0.9,6.9,2.76
365,Luke Babbitt,SF,NO,63,13.2,4.1,1.5-3.0,.479,0.9-1.8,.513,0.2-0.3,.684,24,0.4,26,0.4,1.4,0.92
366,Miles Plumlee,C,MIL/PHX,73,16.4,4.0,1.9-3.5,.535,0.0-0.0,.000,0.3-0.6,.478,34,0.5,51,0.7,1.4,0.67
367,Luke Ridnour,PG,ORL,47,14.5,4.0,1.6-3.7,.426,0.4-1.3,.317,0.4-0.4,.857,96,2.0,38,0.8,6.7,2.53
368,Samuel Dalembert,C,NY,32,17.0,4.0,1.8-4.1,.438,0.0-0.0,.000,0.4-0.6,.700,29,0.9,39,1.2,2.6,0.74
369,Shannon Brown,PG,MIA,5,17.8,4.0,1.4-3.8,.368,0.6-1.4,.429,0.6-0.8,.750,3,0.6,4,0.8,1.6,0.75
370,Glen Davis,PF,LAC,74,12.2,4.0,1.6-3.4,.459,0.0-0.1,.000,0.8-1.3,.632,39,0.5,39,0.5,2.1,1.00
371,Garrett Temple,SG,WSH,52,14.2,3.9,1.3-3.3,.400,0.6-1.7,.375,0.7-0.9,.729,56,1.1,34,0.7,3.7,1.65
372,Travis Wear,SF,NY,51,13.2,3.9,1.6-4.1,.402,0.2-0.6,.367,0.4-0.5,.769,40,0.8,35,0.7,2.9,1.14
373,Joffrey Lauvergne,C,DEN,24,11.2,3.9,1.5-3.7,.404,0.1-0.7,.188,0.8-1.2,.643,13,0.5,22,0.9,2.3,0.59
374,Larry Drew II,G,PHI,12,18.3,3.8,1.7-4.8,.345,0.3-2.2,.154,0.2-0.3,.667,45,3.8,25,2.1,9.9,1.80
375,Austin Daye,SF,ATL/SA,34,10.1,3.8,1.5-4.1,.355,0.7-2.1,.338,0.1-0.2,.833,17,0.5,23,0.7,2.4,0.74
376,Reggie Evans,C,SAC,47,16.3,3.7,1.2-2.9,.423,0.0-0.0,.000,1.3-2.1,.619,32,0.7,45,1.0,2.0,0.71
377,Troy Daniels,SG,HOU/MIN/CHA,47,8.4,3.7,1.3-3.5,.370,0.9-2.5,.364,0.2-0.3,.846,22,0.5,20,0.4,2.7,1.10
378,Hedo Turkoglu,SF,LAC,62,11.4,3.7,1.3-3.0,.441,1.0-2.2,.432,0.1-0.2,.545,37,0.6,29,0.5,2.5,1.28
379,Raymond Felton,PG,DAL,29,9.7,3.7,1.5-3.7,.406,0.3-1.2,.294,0.4-0.5,.800,41,1.4,18,0.6,7.0,2.28
380,Matt Bonner,C,SA,72,13.0,3.7,1.3-3.2,.409,0.6-1.8,.365,0.4-0.5,.811,47,0.7,11,0.2,2.4,4.27
381,Tyler Ennis,PG,MIL/PHX,33,12.5,3.7,1.6-4.4,.361,0.4-1.3,.279,0.2-0.2,.714,73,2.2,42,1.3,8.5,1.74
382,Dewayne Dedmon,C,ORL,59,14.3,3.7,1.5-2.7,.562,0.0-0.0,.000,0.6-1.1,.531,9,0.2,51,0.9,0.5,0.18
383,Cory Jefferson,PF,BKN,50,10.6,3.7,1.5-3.3,.449,0.0-0.3,.133,0.6-1.1,.574,16,0.3,20,0.4,1.4,0.80
384,Tyler Hansbrough,PF,TOR,74,14.3,3.6,1.2-2.2,.521,0.0-0.1,.143,1.3-1.9,.698,21,0.3,20,0.3,1.0,1.05
385,Kendrick Perkins,C,CLE/OKC,68,16.9,3.6,1.5-3.3,.449,0.0-0.0,.000,0.6-1.2,.506,51,0.8,95,1.4,2.1,0.54
386,Lester Hudson,SG,LAC,5,11.2,3.6,1.2-2.8,.429,0.6-1.2,.500,0.6-0.8,.750,5,1.0,3,0.6,4.3,1.67
387,Jimmer Fredette,PG,NO,50,10.2,3.6,1.3-3.3,.380,0.2-1.0,.188,0.9-0.9,.956,58,1.2,33,0.7,5.5,1.76
388,Phil Pressey,PG,BOS,50,12.0,3.5,1.3-3.5,.368,0.3-1.3,.246,0.7-1.0,.673,117,2.3,41,0.8,9.4,2.85
389,Jeff Adrien,SF,MIN,17,12.6,3.5,1.1-2.6,.432,0.0-0.0,.000,1.3-2.2,.579,15,0.9,9,0.5,3.3,1.67
390,Joel Freeland,C,POR,48,12.9,3.5,1.5-3.1,.490,0.0-0.0,.000,0.4-0.5,.840,16,0.3,23,0.5,1.2,0.70
391,Maurice Harkless,SF,ORL,45,15.0,3.5,1.4-3.5,.399,0.2-1.2,.179,0.5-0.9,.537,25,0.6,27,0.6,1.8,0.93
392,Gary Harris,SG,DEN,55,13.1,3.4,1.2-3.9,.304,0.4-1.9,.204,0.6-0.9,.745,29,0.5,38,0.7,1.9,0.76
393,Andre Roberson,SG,OKC,67,19.2,3.4,1.4-3.0,.458,0.3-1.3,.247,0.3-0.7,.479,70,1.0,46,0.7,2.6,1.52
394,Erick Green,PG,DEN,43,9.5,3.4,1.4-3.8,.377,0.3-1.1,.298,0.2-0.3,.833,39,0.9,14,0.3,4.6,2.79
395,James Young,SG,BOS,31,10.7,3.4,1.2-3.3,.353,0.5-2.1,.258,0.5-0.9,.552,13,0.4,5,0.2,1.9,2.60
396,Jason Maxiell,PF,CHA,61,14.4,3.3,1.3-3.1,.422,0.0-0.0,.000,0.7-1.2,.577,19,0.3,29,0.5,1.0,0.66
397,Noah Vonleh,PF,CHA,25,10.4,3.3,1.2-3.0,.395,0.2-0.5,.385,0.7-1.0,.692,4,0.2,11,0.4,0.7,0.36
398,Martell Webster,SF,WSH,32,11.0,3.3,0.8-2.8,.264,0.3-1.3,.233,1.5-2.0,.750,17,0.5,22,0.7,2.3,0.77
399,Allen Crabbe,SF,POR,51,13.4,3.3,1.2-3.0,.412,0.6-1.7,.353,0.2-0.3,.750,39,0.8,15,0.3,2.7,2.60
400,Francisco Garcia,SG,HOU,14,14.3,3.2,1.2-4.5,.270,0.7-3.2,.222,0.1-0.3,.250,15,1.1,10,0.7,3.6,1.50
401,Will Bynum,PG,WSH,7,9.6,3.1,1.4-4.4,.323,0.0-1.3,.000,0.3-0.6,.500,18,2.6,8,1.1,12.9,2.25
402,Jerome Jordan,C,BKN,44,8.7,3.1,1.1-2.1,.532,0.0-0.0,.000,0.9-1.0,.864,13,0.3,22,0.5,1.6,0.59
403,Jordan Adams,SG,MEM,30,8.3,3.1,1.2-2.9,.407,0.3-0.8,.400,0.5-0.8,.609,16,0.5,14,0.5,3.1,1.14
404,Dwight Powell,PF,BOS/DAL,29,8.1,3.1,1.1-2.3,.463,0.1-0.4,.273,0.9-1.1,.758,9,0.3,11,0.4,1.8,0.82
405,Doug McDermott,SF,CHI,36,8.9,3.0,1.2-3.0,.402,0.4-1.1,.317,0.3-0.4,.667,6,0.2,17,0.5,0.9,0.35
406,Jarnell Stokes,PF,MEM,19,6.6,3.0,1.1-1.9,.568,0.0-0.0,.000,0.8-1.5,.536,4,0.2,7,0.4,1.5,0.57
407,Ryan Hollins,C,SAC,46,9.6,3.0,1.2-1.8,.646,0.0-0.0,.000,0.7-1.2,.574,14,0.3,25,0.5,1.5,0.56
408,Johnny O'Bryant III,C,MIL,34,10.8,2.9,1.3-3.5,.367,0.0-0.0,.000,0.4-0.8,.444,17,0.5,25,0.7,2.2,0.68
409,Quincy Miller,SF,DET/SAC,10,11.9,2.9,0.9-3.8,.237,0.3-1.8,.167,0.8-1.1,.727,8,0.8,5,0.5,3.2,1.60
410,Shayne Whittington,PF,IND,20,5.4,2.9,1.0-2.1,.452,0.1-0.3,.167,0.9-1.2,.783,6,0.3,5,0.3,2.7,1.20
411,Elliot Williams,SG,NO/UTAH,13,9.2,2.8,1.1-2.8,.378,0.6-1.4,.444,0.1-0.3,.250,12,0.9,4,0.3,4.8,3.00
412,Bernard James,C,DAL,16,9.9,2.8,0.8-1.7,.444,0.0-0.0,.000,1.3-1.4,.870,4,0.3,6,0.4,1.2,0.67
413,Jordan Hamilton,SG,LAC,14,8.7,2.7,1.0-2.5,.400,0.7-1.5,.476,0.0-0.0,.000,7,0.5,4,0.3,2.8,1.75
414,Earl Clark,SF,BKN,10,9.3,2.7,1.1-3.0,.367,0.4-1.4,.286,0.1-0.4,.250,3,0.3,6,0.6,1.5,0.50
415,Jeff Ayres,PF,SA,51,7.5,2.7,1.1-1.9,.579,0.0-0.0,.000,0.5-0.7,.750,14,0.3,26,0.5,1.8,0.54
416,Joey Dorsey,PF,HOU,69,12.4,2.7,1.2-2.1,.552,0.0-0.0,.000,0.3-1.2,.289,25,0.4,41,0.6,1.4,0.61
417,Joe Harris,SG,CLE,51,9.7,2.7,0.9-2.4,.400,0.6-1.6,.369,0.2-0.3,.600,26,0.5,27,0.5,2.5,0.96
418,Elton Brand,PF,ATL,36,13.5,2.7,1.2-2.6,.442,0.0-0.0,.000,0.3-0.6,.522,22,0.6,18,0.5,2.2,1.22
419,Clint Capela,C,HOU,12,7.5,2.7,1.2-2.4,.483,0.0-0.0,.000,0.3-1.9,.174,2,0.2,5,0.4,1.1,0.40
420,David Stockton,PG,SAC,3,11.0,2.7,0.7-2.0,.333,0.3-0.7,.500,1.0-2.0,.500,9,3.0,4,1.3,13.1,2.25
421,E'Twaun Moore,SG,CHI,56,9.0,2.7,1.1-2.5,.446,0.2-0.7,.342,0.2-0.4,.600,33,0.6,14,0.3,3.1,2.36
422,Jorge Gutierrez,PG,MIL/BKN,20,8.8,2.7,1.1-2.1,.537,0.0-0.2,.000,0.5-0.7,.692,22,1.1,12,0.6,6.0,1.83
423,Jeff Withey,C,NO,37,7.0,2.6,0.9-1.7,.500,0.0-0.0,.000,0.9-1.4,.680,11,0.3,12,0.3,2.0,0.92
424,Malcolm Thomas,PF,PHI,17,11.4,2.6,1.1-2.4,.450,0.0-0.4,.000,0.5-0.8,.692,7,0.4,13,0.8,1.7,0.54
425,Nick Johnson,SG,HOU,28,9.4,2.6,0.9-2.7,.347,0.2-0.8,.238,0.6-0.9,.680,11,0.4,19,0.7,2.0,0.58
426,JaMychal Green,PF,SA/MEM,24,6.8,2.6,1.1-2.0,.574,0.0-0.3,.000,0.3-0.4,.800,4,0.2,14,0.6,1.2,0.29
427,Russ Smith,PG,NO/MEM,12,5.4,2.5,0.7-2.1,.320,0.2-0.9,.182,1.0-1.1,.923,8,0.7,12,1.0,5.9,0.67
428,Victor Claver,PF,POR,10,7.6,2.4,0.9-2.0,.450,0.6-1.1,.545,0.0-0.0,.000,1,0.1,4,0.4,0.6,0.25
429,Jeremy Evans,SF,UTAH,38,7.0,2.4,0.8-1.5,.552,0.1-0.1,.400,0.6-0.8,.828,13,0.3,5,0.1,2.3,2.60
430,Devyn Marble,SF,ORL,16,13.0,2.3,0.9-2.8,.318,0.3-1.4,.182,0.3-1.0,.313,17,1.1,9,0.6,3.9,1.89
431,Furkan Aldemir,PF,PHI,41,13.2,2.3,1.0-1.9,.513,0.0-0.1,.000,0.3-0.7,.481,28,0.7,17,0.4,2.5,1.65
432,Kyle Anderson,SF,SA,33,10.8,2.2,0.9-2.7,.348,0.1-0.3,.273,0.3-0.4,.643,28,0.8,10,0.3,3.8,2.80
433,Xavier Henry,SG,LAL,9,9.6,2.2,0.3-1.4,.231,0.0-0.0,.000,1.6-2.7,.583,3,0.3,3,0.3,1.7,1.00
434,Glen Rice Jr.,SG,WSH,5,8.6,2.2,0.6-3.0,.200,0.2-1.4,.143,0.8-1.2,.667,2,0.4,2,0.4,2.2,1.00
435,Darius Morris,PG,BKN,38,7.9,2.2,0.9-2.8,.340,0.2-0.9,.212,0.1-0.2,.444,48,1.3,21,0.6,7.7,2.29
436,Mike Miller,SG,CLE,52,13.5,2.1,0.7-2.2,.325,0.6-1.9,.327,0.1-0.1,.750,46,0.9,23,0.4,3.1,2.00
437,Glenn Robinson III,SG,MIN/PHI,35,7.5,2.1,0.7-1.9,.388,0.1-0.5,.263,0.5-0.7,.667,11,0.3,11,0.3,2.0,1.00
438,John Salmons,SF,NO,21,12.9,2.0,0.8-2.3,.333,0.4-1.2,.308,0.1-0.2,.500,13,0.6,5,0.2,2.3,2.60
439,Nate Wolters,PG,NO/MIL,21,11.8,2.0,1.0-2.7,.351,0.0-0.3,.000,0.1-0.3,.333,21,1.0,13,0.6,4.1,1.62
440,Earl Barron,C,PHX,16,8.9,2.0,0.8-2.4,.308,0.1-0.3,.500,0.4-0.8,.500,5,0.3,5,0.3,1.7,1.00
441,Grant Jerrett,PF,OKC/UTAH,8,6.4,2.0,0.9-3.3,.269,0.1-1.9,.067,0.1-0.1,1.000,3,0.4,3,0.4,2.8,1.00
442,Tyrus Thomas,PF,MEM,2,3.5,2.0,0.5-0.5,1.000,0.0-0.0,.000,1.0-1.0,1.000,1,0.5,0,0.0,6.9,0.00
443,Julius Randle,PF,LAL,1,14.0,2.0,1.0-3.0,.333,0.0-0.0,.000,0.0-2.0,.000,0,0.0,1,1.0,0.0,0.00
444,C.J. Wilcox,SG,LAC,21,4.8,2.0,0.8-1.8,.421,0.3-0.9,.368,0.1-0.1,1.000,8,0.4,10,0.5,3.8,0.80
445,DeJuan Blair,C,WSH,29,6.2,1.9,0.9-2.0,.456,0.0-0.0,.000,0.1-0.2,.667,3,0.1,13,0.4,0.8,0.23
446,Reggie Bullock,SF,LAC/PHX,36,9.4,1.9,0.7-1.9,.343,0.4-1.3,.326,0.2-0.3,.667,8,0.2,8,0.2,1.1,1.00
447,Greg Smith,PF,DAL,42,8.6,1.9,0.7-1.2,.612,0.0-0.0,.000,0.5-0.9,.513,9,0.2,11,0.3,1.2,0.82
448,Ian Clark,SG,DEN/UTAH,30,6.4,1.9,0.6-1.8,.345,0.3-1.0,.333,0.3-0.3,1.000,12,0.4,9,0.3,3.0,1.33
449,Drew Gordon,C,PHI,9,7.9,1.9,0.9-2.1,.421,0.0-0.3,.000,0.1-0.2,.500,2,0.2,8,0.9,1.4,0.25
450,Will Cherry,PG,CLE,8,8.6,1.9,0.6-2.4,.263,0.3-1.1,.222,0.4-0.8,.500,8,1.0,4,0.5,5.6,2.00
451,Reggie Williams,SF,SA,20,5.3,1.9,0.8-2.0,.385,0.2-1.0,.158,0.2-0.2,1.000,10,0.5,2,0.1,4.6,5.00
452,Jared Cunningham,SG,LAC,19,4.7,1.8,0.6-1.7,.364,0.2-0.7,.308,0.4-0.7,.538,10,0.5,7,0.4,5.4,1.43
453,Kenyon Martin,PF,MIL,11,9.5,1.8,0.8-2.0,.409,0.0-0.0,.000,0.2-0.2,1.000,5,0.5,3,0.3,2.3,1.67
454,Steve Novak,SF,OKC/UTAH,35,5.6,1.8,0.6-1.6,.393,0.5-1.4,.396,0.0-0.1,.000,11,0.3,5,0.1,2.7,2.20
455,Joel Anthony,C,DET,49,8.3,1.8,0.7-1.3,.581,0.0-0.0,.000,0.3-0.4,.682,5,0.1,12,0.2,0.6,0.42
456,Landry Fields,SG,TOR,26,8.3,1.8,0.8-1.6,.488,0.0-0.1,.500,0.2-0.2,.833,15,0.6,8,0.3,3.3,1.88
457,Zoran Dragic,SG,MIA/PHX,16,4.7,1.8,0.7-1.9,.367,0.2-0.9,.214,0.2-0.3,.600,5,0.3,5,0.3,3.2,1.00
458,Chuck Hayes,PF,TOR,29,8.8,1.7,0.8-1.6,.478,0.0-0.0,.000,0.2-0.4,.545,20,0.7,8,0.3,3.8,2.50
459,Jack Cooley,SF,UTAH,16,5.4,1.7,0.6-1.4,.409,0.0-0.0,.000,0.6-1.3,.429,1,0.1,3,0.2,0.6,0.33
460,Miroslav Raduljica,C,MIN,5,4.6,1.6,0.6-1.6,.375,0.0-0.0,.000,0.4-0.4,1.000,0,0.0,2,0.4,0.0,0.00
461,Brendan Haywood,C,CLE,22,5.4,1.6,0.6-1.4,.467,0.0-0.0,.000,0.3-0.6,.538,2,0.1,10,0.5,0.8,0.20
462,Chris Douglas-Roberts,SG,LAC,12,8.6,1.6,0.4-1.8,.238,0.1-0.6,.143,0.7-0.7,1.000,4,0.3,0,0.0,1.9,0.00
463,Cartier Martin,PF,DET,23,8.6,1.6,0.7-2.3,.283,0.3-1.4,.182,0.0-0.0,.000,11,0.5,5,0.2,2.7,2.20
464,Jerel McNeal,SG,PHX,6,6.0,1.5,0.5-1.8,.273,0.2-0.3,.500,0.3-0.3,1.000,2,0.3,5,0.8,2.7,0.40
465,Gal Mekel,PG,NO,4,10.8,1.5,0.8-5.0,.150,0.0-0.8,.000,0.0-0.0,.000,13,3.3,2,0.5,14.5,6.50
466,Patrick Christopher,SG,UTAH,4,7.3,1.5,0.8-3.0,.250,0.0-1.0,.000,0.0-0.0,.000,0,0.0,1,0.3,0.0,0.00
467,Ognjen Kuzmic,C,GS,16,4.5,1.3,0.5-0.8,.667,0.0-0.0,.000,0.3-0.3,1.000,6,0.4,5,0.3,4.0,1.20
468,Bruno Caboclo,SF,TOR,8,2.9,1.3,0.5-1.5,.333,0.3-0.4,.667,0.0-0.0,.000,0,0.0,4,0.5,0.0,0.00
469,Toure' Murry,SF,UTAH/WSH,5,3.6,1.2,0.4-1.0,.400,0.0-0.0,.000,0.4-0.4,1.000,1,0.2,4,0.8,2.7,0.25
470,Nazr Mohammed,C,CHI,23,5.6,1.2,0.6-1.3,.433,0.0-0.0,.000,0.0-0.1,.333,3,0.1,7,0.3,1.1,0.43
471,Shavlik Randolph,PF,BOS/PHX,21,6.0,1.1,0.4-1.7,.257,0.0-0.2,.000,0.3-0.6,.500,4,0.2,3,0.1,1.5,1.33
472,Gerald Wallace,SF,BOS,32,8.9,1.1,0.4-1.1,.412,0.0-0.1,.333,0.2-0.5,.400,11,0.3,18,0.6,1.8,0.61
473,Lucas Nogueira,C,TOR,6,3.8,1.0,0.3-1.3,.250,0.0-0.0,.000,0.3-0.7,.500,1,0.2,2,0.3,2.1,0.50
474,Jamaal Franklin,SG,DEN,3,4.3,1.0,0.3-0.7,.500,0.3-0.7,.500,0.0-0.0,.000,3,1.0,3,1.0,11.1,1.00
475,Brandon Rush,SG,GS,33,8.2,0.9,0.3-1.6,.204,0.1-0.8,.111,0.2-0.3,.455,12,0.4,11,0.3,2.1,1.09
476,Ekpe Udoh,PF,LAC,33,3.9,0.9,0.3-0.7,.458,0.0-0.0,.000,0.2-0.3,.778,8,0.2,7,0.2,3.0,1.14
477,Greg Stiemsma,C,TOR,17,3.9,0.8,0.4-0.5,.750,0.0-0.0,.000,0.1-0.2,.500,3,0.2,7,0.4,2.2,0.43
478,Alex Kirk,C,CLE,5,2.8,0.8,0.2-0.8,.250,0.0-0.0,.000,0.4-0.4,1.000,1,0.2,0,0.0,3.4,0.00
479,Andre Dawkins,SG,MIA,4,5.5,0.8,0.3-1.5,.167,0.3-1.5,.167,0.0-0.0,.000,1,0.3,1,0.3,2.2,1.00
480,Eric Moreland,PF,SAC,3,0.7,0.7,0.3-0.3,1.000,0.0-0.0,.000,0.0-0.0,.000,0,0.0,0,0.0,0.0,0.00
481,Sim Bhullar,C,SAC,3,1.0,0.7,0.3-0.7,.500,0.0-0.0,.000,0.0-0.0,.000,1,0.3,0,0.0,16.0,0.00
482,Dahntay Jones,SG,LAC,33,3.7,0.6,0.2-0.6,.286,0.0-0.1,.000,0.3-0.3,.818,2,0.1,1,0.0,0.8,2.00
483,Cameron Bairstow,PF,CHI,18,3.6,0.6,0.2-0.8,.214,0.0-0.0,.000,0.2-0.3,.800,1,0.1,3,0.2,0.8,0.33
484,Andrei Kirilenko,SF,BKN,7,5.1,0.4,0.0-0.7,.000,0.0-0.0,.000,0.4-0.6,.750,1,0.1,1,0.1,1.3,1.00
485,Darius Miller,SF,NO,5,8.6,0.4,0.2-1.4,.143,0.0-0.2,.000,0.0-0.0,.000,2,0.4,1,0.2,2.2,2.00
486,Ronny Turiaf,C,MIN,2,9.5,0.0,0.0-0.0,.000,0.0-0.0,.000,0.0-0.0,.000,2,1.0,0,0.0,5.1,0.00
487,Malcolm Lee,SG,PHI,1,2.0,0.0,0.0-1.0,.000,0.0-0.0,.000,0.0-0.0,.000,0,0.0,0,0.0,0.0,0.00
488,Kalin Lucas,PG,MEM,1,6.0,0.0,0.0-1.0,.000,0.0-0.0,.000,0.0-0.0,.000,0,0.0,0,0.0,0.0,0.00
489,Seth Curry,SG,PHX,2,4.0,0.0,0.0-1.5,.000,0.0-0.5,.000,0.0-0.0,.000,1,0.5,0,0.0,6.0,0.00
490,David Wear,PF,SAC,2,3.5,0.0,0.0-1.0,.000,0.0-0.5,.000,0.0-0.0,.000,1,0.5,0,0.0,6.9,0.00
491,Jerrelle Benimon,PF,UTAH,2,1.5,0.0,0.0-0.0,.000,0.0-0.0,.000,0.0-0.0,.000,0,0.0,1,0.5,0.0,0.00
