playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
boonebr01,"Gold Glove",1998,NL,NULL,2B,boonebr01,1992,1,SEA,AL,33,33,129,15,25,4,0,4,15,1,1,4,34,0,1,1,0,4,33
bottoji01,MVP,1928,NL,NULL,,bottoji01,1922,1,SLN,NL,37,37,151,29,49,8,5,5,35,3,1,6,13,NULL,2,2,NULL,NULL,37
boudrlo01,MVP,1948,AL,NULL,,boudrlo01,1938,1,CLE,AL,1,1,1,0,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,NULL,1
bournmi01,"Gold Glove",2009,NL,NULL,OF,bournmi01,2006,1,PHI,NL,17,17,8,2,1,0,0,0,0,1,2,1,3,0,0,2,0,0,17
bowala01,"Gold Glove",1972,NL,NULL,SS,bowala01,1970,1,PHI,NL,145,145,547,50,137,17,6,0,34,24,13,21,48,1,0,6,3,8,145
boyercl02,"Gold Glove",1969,NL,NULL,3B,boyercl02,1955,1,KC1,AL,47,47,79,3,19,1,0,0,6,0,0,3,17,0,0,0,0,3,47
boyerke01,"Gold Glove",1958,NL,NULL,3B,boyerke01,1955,1,SLN,NL,147,147,530,78,140,27,2,18,62,22,17,37,67,5,1,1,5,6,147
brandja01,"Gold Glove",1959,NL,NULL,LF,brandja01,1956,1,SLN,NL,27,27,42,9,12,3,0,1,3,0,1,4,5,0,1,1,0,1,27
brettge01,MVP,1980,AL,NULL,,brettge01,1973,1,KCA,AL,13,13,40,2,5,2,0,0,0,0,0,0,5,0,0,1,0,0,13
brinked01,"Gold Glove",1972,AL,NULL,SS,brinked01,1961,1,WS2,AL,4,4,11,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4
brosisc01,"Gold Glove",1999,AL,NULL,3B,brosisc01,1991,1,OAK,AL,36,36,68,9,16,5,0,2,4,3,1,3,11,0,0,1,0,2,36
buehrma01,"Gold Glove",2009,AL,NULL,P,buehrma01,2000,1,CHA,AL,28,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28
buhneja01,"Gold Glove",1996,AL,NULL,OF,buhneja01,1987,1,NYA,AL,7,7,22,0,5,2,0,0,1,0,0,1,6,0,0,0,0,1,7
burksel01,"Gold Glove",1990,AL,NULL,OF,burksel01,1987,1,BOS,AL,133,133,558,94,152,30,2,20,59,27,6,41,98,0,2,4,1,1,133
burleri01,"Gold Glove",1979,AL,NULL,SS,burleri01,1974,1,BOS,AL,114,114,384,36,109,22,0,4,44,3,3,21,34,0,2,3,5,13,114
burnsge02,MVP,1926,AL,NULL,,burnsge02,1914,1,DET,AL,137,137,478,55,139,22,5,5,57,23,13,32,56,NULL,12,22,NULL,NULL,137
burroje01,MVP,1974,AL,NULL,,burroje01,1970,1,WS2,AL,6,6,12,1,2,0,0,0,1,0,0,2,5,0,0,0,0,0,6
cabreor01,"Gold Glove",2001,NL,NULL,SS,cabreor01,1997,1,MON,NL,16,16,18,4,4,0,0,0,2,1,2,1,3,0,0,1,0,1,16
camermi01,"Gold Glove",2001,AL,NULL,OF,camermi01,1995,1,CHA,AL,28,28,38,4,7,2,0,1,2,0,0,3,15,0,0,3,0,0,28
camildo01,MVP,1941,NL,NULL,,camildo01,1933,1,CHN,NL,16,16,58,8,13,2,1,2,7,3,NULL,4,11,NULL,0,1,NULL,2,16
caminke01,"Gold Glove",1995,NL,NULL,3B,caminke01,1987,1,HOU,NL,63,63,203,10,50,7,1,3,23,0,0,12,44,1,0,2,1,6,63
camparo01,MVP,1951,NL,NULL,,camparo01,1948,1,BRO,NL,83,83,279,32,72,11,3,9,45,3,NULL,36,45,NULL,1,5,NULL,3,83
cansejo01,MVP,1988,AL,NULL,,cansejo01,1985,1,OAK,AL,29,29,96,16,29,3,0,5,13,1,1,4,31,0,0,0,0,1,29
cardele01,"Gold Glove",1965,NL,NULL,SS,cardele01,1960,1,CIN,NL,48,48,142,13,33,2,4,1,12,0,0,6,32,0,0,5,0,1,48
carewro01,MVP,1977,AL,NULL,,carewro01,1967,1,MIN,AL,137,137,514,66,150,22,7,8,51,5,9,37,91,4,2,7,1,12,137
carltst01,"Gold Glove",1981,NL,NULL,P,carltst01,1965,1,SLN,NL,15,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
cartega01,"Gold Glove",1980,NL,NULL,C,cartega01,1974,1,MON,NL,9,9,27,5,11,0,1,1,6,2,0,1,2,0,0,0,1,0,9
castilu01,"Gold Glove",2003,NL,NULL,2B,castilu01,1996,1,FLO,NL,41,41,164,26,43,2,1,1,8,17,4,14,46,0,0,2,0,0,41
cavarph01,MVP,1945,NL,NULL,,cavarph01,1934,1,CHN,NL,7,7,21,5,8,0,1,1,6,1,NULL,2,3,NULL,0,0,NULL,0,7
cedence01,"Gold Glove",1972,NL,NULL,OF,cedence01,1970,1,HOU,NL,90,90,355,46,110,21,4,7,42,17,4,15,57,2,2,3,2,8,90
cepedor01,MVP,1967,NL,NULL,,cepedor01,1958,1,SFN,NL,148,148,603,88,188,38,4,25,96,15,11,29,84,7,3,0,9,18,148
