,PLAYER,POSITION,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,AST,APG,TO,TOPG,AP48M,AST/TO
159,Aaron Brooks,PG,CHI,6,16.0,8.7,3.7-8.5,.431,1.3-4.0,.333,0.0-0.0,.000,12,2.0,4,0.7,6.0,3.00
160,J.J. Hickson,PF,DEN,3,17.3,8.7,4.0-6.0,.667,0.0-0.0,.000,0.7-3.0,.222,,,,,,
161,Gary Neal,PG,WSH,4,17.8,8.5,3.3-7.5,.433,0.5-1.5,.333,1.5-1.5,1.000,,,,,,
162,D'Angelo Russell,PG,LAL,4,24.3,8.5,3.5-10.3,.341,1.3-5.0,.250,0.3-0.5,.500,11,2.8,6,1.5,5.4,1.83
163,Joe Johnson,SF,BKN,5,32.2,8.4,3.0-10.6,.283,0.6-3.0,.200,1.8-2.2,.818,19,3.8,3,0.6,5.7,6.33
164,Kyle O'Quinn,PF,NY,5,19.8,8.4,3.8-7.2,.528,0.0-0.4,.000,0.8-1.0,.800,9,1.8,8,1.6,4.4,1.13
165,Elfrid Payton,PG,ORL,5,30.6,8.4,3.6-10.6,.340,0.8-2.4,.333,0.4-0.4,1.000,33,6.6,13,2.6,10.4,2.54
166,D.J. Augustin,PG,OKC,6,17.8,8.3,2.7-5.3,.500,1.2-2.2,.538,1.8-2.2,.846,16,2.7,11,1.8,7.2,1.45
167,Corey Brewer,SG,HOU,5,27.4,8.0,3.0-9.8,.306,0.4-2.4,.167,1.6-2.8,.571,13,2.6,4,0.8,4.6,3.25
168,Matthew Dellavedova,SG,CLE,5,25.4,8.0,3.2-7.4,.432,1.0-2.8,.357,0.6-0.8,.750,33,6.6,7,1.4,12.5,4.71
169,Jerian Grant,PG,NY,5,22.8,8.0,2.8-6.2,.452,0.2-0.8,.250,2.2-2.6,.846,17,3.4,7,1.4,7.2,2.43
170,Roy Hibbert,C,LAL,4,23.3,8.0,1.8-3.8,.467,0.0-0.3,.000,4.5-5.0,.900,6,1.5,6,1.5,3.1,1.00
171,Marreese Speights,C,GS,5,14.2,7.8,2.8-7.4,.378,0.2-0.4,.500,2.0-2.4,.833,,,,,,
172,Omri Casspi,SF,SAC,5,21.2,7.8,2.8-6.4,.438,1.0-1.6,.625,1.2-2.6,.462,7,1.4,9,1.8,3.2,0.78
173,Patrick Patterson,PF,TOR,5,21.6,7.8,2.8-6.6,.424,1.8-4.0,.450,0.4-0.4,1.000,,,,,,
174,Timofey Mozgov,C,CLE,5,21.6,7.8,3.0-6.6,.455,0.0-0.2,.000,1.8-2.0,.900,,,,,,
175,Rudy Gobert,C,UTAH,5,33.0,7.8,3.0-6.2,.484,0.0-0.0,.000,1.8-3.6,.500,7,1.4,9,1.8,2.0,0.78
176,Ish Smith,PG,NO,4,23.5,7.8,3.3-9.0,.361,0.8-1.8,.429,0.5-1.5,.333,27,6.8,9,2.3,13.8,3.00
177,Zach LaVine,PG,MIN,4,18.5,7.8,2.8-7.0,.393,0.3-1.3,.200,2.0-2.0,1.000,14,3.5,9,2.3,9.1,1.56
178,Myles Turner,PF,IND,4,18.8,7.8,3.3-6.0,.542,0.0-0.0,.000,1.3-2.0,.625,,,,,,
179,Jeff Green,SF,MEM,6,23.0,7.7,2.7-7.3,.364,0.8-2.7,.313,1.5-2.0,.750,13,2.2,8,1.3,4.5,1.63
180,Brandan Wright,PF,MEM,6,19.0,7.7,3.0-4.8,.621,0.0-0.0,.000,1.7-3.0,.556,,,,,,
181,Devin Harris,PG,DAL,5,22.4,7.6,2.6-7.8,.333,0.6-3.4,.176,1.8-3.2,.563,8,1.6,7,1.4,3.4,1.14
182,Greivis Vasquez,PG,MIL,5,24.0,7.6,2.0-8.0,.250,0.6-3.6,.167,3.0-3.2,.938,27,5.4,9,1.8,10.8,3.00
183,Tristan Thompson,C,CLE,5,24.6,7.6,3.4-5.6,.607,0.0-0.0,.000,0.8-1.6,.500,,,,,,
184,Clint Capela,C,HOU,5,17.2,7.6,3.6-4.6,.783,0.0-0.0,.000,0.4-0.6,.667,,,,,,
185,Luis Scola,PF,TOR,5,22.4,7.4,3.4-7.4,.459,0.4-0.6,.667,0.2-0.4,.500,,,,,,
186,Patty Mills,PG,SA,5,21.6,7.4,2.8-5.2,.538,1.6-3.0,.533,0.2-0.4,.500,9,1.8,5,1.0,4.0,1.80
187,Lance Thomas,SF,NY,5,20.0,7.4,3.0-5.2,.577,0.4-0.6,.667,1.0-1.4,.714,,,,,,
188,Andrea Bargnani,C,BKN,5,15.8,7.2,2.6-5.8,.448,0.2-0.6,.333,1.8-2.0,.900,,,,,,
189,Willie Cauley-Stein,C,SAC,5,22.2,7.2,2.8-3.8,.737,0.0-0.0,.000,1.6-3.0,.533,,,,,,
190,Tiago Splitter,PF,ATL,6,18.8,7.0,2.8-5.8,.486,0.0-0.0,.000,1.3-1.5,.889,6,1.0,6,1.0,2.5,1.00
191,Jon Leuer,PF,PHX,5,16.6,7.0,2.6-5.2,.500,1.0-1.8,.556,0.8-1.6,.500,6,1.2,1,0.2,3.5,6.00
192,Cody Zeller,PF,CHA,5,21.0,7.0,2.6-5.2,.500,0.0-0.4,.000,1.8-2.2,.818,,,,,,
193,Gorgui Dieng,C,MIN,4,20.3,7.0,3.0-6.0,.500,0.0-0.0,.000,1.0-1.3,.800,,,,,,
194,Beno Udrih,PG,MEM,6,16.7,6.8,2.8-6.0,.472,0.7-1.7,.400,0.5-0.5,1.000,25,4.2,8,1.3,12.0,3.13
195,Meyers Leonard,PF,POR,6,24.2,6.8,2.5-6.8,.366,0.5-3.5,.143,1.3-1.5,.889,8,1.3,5,0.8,2.6,1.60
196,Dion Waiters,SG,OKC,6,26.2,6.8,2.7-6.8,.390,0.7-1.8,.364,0.8-1.2,.714,11,1.8,9,1.5,3.4,1.22
197,Andre Iguodala,SG,GS,5,27.2,6.8,2.8-6.6,.424,0.6-3.0,.200,0.6-1.2,.500,19,3.8,4,0.8,6.7,4.75
198,Jameer Nelson,PG,DEN,5,24.4,6.8,2.4-8.6,.279,1.0-3.8,.263,1.0-1.2,.833,27,5.4,11,2.2,10.6,2.45
199,Alex Len,C,PHX,5,14.8,6.8,2.6-6.2,.419,0.0-0.0,.000,1.6-2.6,.615,,,,,,
200,T.J. McConnell,PG,PHI,4,28.0,,,,,,,,32,8.0,7,1.8,13.7,4.57
201,Steve Blake,PG,DET,4,13.8,,,,,,,,17,4.3,7,1.8,14.8,2.43
202,Boris Diaw,C,SA,5,19.6,,,,,,,,17,3.4,6,1.2,8.3,2.83
203,Shane Larkin,PG,BKN,5,17.4,,,,,,,,17,3.4,9,1.8,9.4,1.89
204,Joakim Noah,C,CHI,6,20.0,,,,,,,,18,3.0,12,2.0,7.2,1.50
205,Mario Chalmers,PG,MIA,4,19.0,,,,,,,,12,3.0,6,1.5,7.6,2.00
206,Cameron Payne,PG,OKC,1,4.0,,,,,,,,3,3.0,0,0.0,36.0,0.00
207,C.J. Watson,PG,ORL,5,19.4,,,,,,,,14,2.8,4,0.8,6.9,3.50
208,Cory Joseph,PG,TOR,5,22.0,,,,,,,,14,2.8,7,1.4,6.1,2.00
209,Lance Stephenson,SF,LAC,5,21.2,,,,,,,,13,2.6,6,1.2,5.9,2.17
210,J.R. Smith,SG,CLE,4,23.0,,,,,,,,10,2.5,5,1.3,5.2,2.00
211,Evan Turner,SG,BOS,4,21.8,,,,,,,,10,2.5,9,2.3,5.5,1.11
212,Marcelo Huertas,PG,LAL,4,12.8,,,,,,,,10,2.5,3,0.8,9.4,3.33
213,Sasha Vujacic,SG,NY,5,24.4,,,,,,,,12,2.4,7,1.4,4.7,1.71
214,Jose Calderon,PG,NY,5,22.0,,,,,,,,12,2.4,5,1.0,5.2,2.40
215,David Lee,PF,BOS,4,19.5,,,,,,,,9,2.3,6,1.5,5.5,1.50
216,Spencer Hawes,PF,CHA,5,18.6,,,,,,,,11,2.2,6,1.2,5.7,1.83
217,Shaun Livingston,PG,GS,5,18.2,,,,,,,,10,2.0,4,0.8,5.3,2.50
218,Gary Harris,SG,DEN,5,24.6,,,,,,,,10,2.0,8,1.6,3.9,1.25
219,Nene Hilario,PF,WSH,4,18.0,,,,,,,,8,2.0,4,1.0,5.3,2.00
