Pos,AVG(H/AB),AVG(RBI),AVG(HR)
1B,0.27964271,67.3413,12.6653
2B,0.26935185,50.1591,5.9463
3B,0.27041007,57.0661,8.9921
C,0.26825673,53.8253,8.8696
CF,0.27335158,57.8432,13.1417
DH,0.27633791,68.5938,16.8020
LF,0.27416908,60.7898,14.4480
OF,0.28034770,61.2095,11.1194
P,0.27723888,55.0918,4.9859
RF,0.27419109,63.1295,15.1630
SS,0.26516182,50.9998,6.0784
