lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,playerID,numMVP,numGoldGlove
5066,gibsobo01,,gibsobo01h,1935,11,9,USA,NE,Omaha,NULL,NULL,NULL,NULL,NULL,NULL,Bob,Gibson,"born Pack Robert Gibson",Robert,"Hoot,Gibby",195,73.0,R,R,1959-04-15,1975-09-03,,gibsobo01,gibsobo01,gibsb101,gibsobo01,gibsobo01,gibsobo01,1,9
12447,sandbry01,,sandbry01h,1959,9,18,USA,WA,Spokane,NULL,NULL,NULL,NULL,NULL,NULL,Ryne,Sandberg,NULL,"Ryne Dee",Ryno,180,74.0,R,R,1981-09-02,1997-09-28,,sandbry01,sandbry01,sandr001,sandbry01,sandbry01,sandbry01,1,9
13875,suzukic01,,,1973,10,22,Japan,,Kasugai,NULL,NULL,NULL,NULL,NULL,NULL,Ichiro,Suzuki,NULL,NULL,NULL,160,69.0,L,R,2001-04-02,NULL,,suzukic01,suzukic01,suzui001,suzukic01,suzukic01,suzukic01,1,9
8984,mattido01,,mattido01h,1961,4,20,USA,IN,Evansville,NULL,NULL,NULL,NULL,NULL,NULL,Don,Mattingly,NULL,"Donald Arthur","Donnie Baseball",175,72.0,L,L,1982-09-08,1995-10-01,,mattido01,mattido01,mattd001,mattido01,mattido01,mattido01,1,9
3367,dawsoan01,,dawsoan01h,1954,7,10,USA,FL,Miami,NULL,NULL,NULL,NULL,NULL,NULL,Andre,Dawson,NULL,"Andre Nolan",Hawk,195,75.0,R,R,1976-09-11,1996-09-29,"Florida A&M",dawsoan01,dawsoan01,dawsa001,dawsoan01,dawsoan01,dawsoan01,1,8
12868,shantbo01,,shantbo01h,1925,9,26,USA,PA,Pottstown,NULL,NULL,NULL,NULL,NULL,NULL,Bobby,Shantz,NULL,"Robert Clayton",NULL,142,66.0,R,L,1949-05-01,1964-09-29,,shantbo01,shantbo01,shanb102,shantbo01,shantbo01,shantbo01,1,8
14736,walkela01,,,1966,12,1,CAN,BC,"Maple Ridge",NULL,NULL,NULL,NULL,NULL,NULL,Larry,Walker,NULL,"Larry Kenneth Robert",NULL,215,75.0,L,R,1989-08-16,2005-10-02,,walkela01,walkela01,walkl001,walkela01,walkela01,walkela01,1,7
15607,yastrca01,,yastrca01h,1939,8,22,USA,NY,Southampton,NULL,NULL,NULL,NULL,NULL,NULL,Carl,Yastrzemski,NULL,"Carl Michael",Yaz,182,71.0,L,R,1961-04-11,1983-10-02,,yastrca01,yastrca01,yastc101,yastrca01,yastrca01,yastrca01,1,7
1411,boyerke01,boyerke01m,boyerke01h,1931,5,20,USA,MO,Liberty,1982,9,7,USA,MO,St.Louis,Ken,Boyer,NULL,"Kenton Lloyd",NULL,200,74.0,R,R,1955-04-12,1969-08-09,,boyerke01,boyerke01,boyek101,boyerke01,boyerke01,boyerke01,1,5
8554,lynnfr01,,lynnfr01h,1952,2,3,USA,IL,Chicago,NULL,NULL,NULL,NULL,NULL,NULL,Fred,Lynn,NULL,"Fredric Michael",NULL,190,73.0,L,L,1974-09-05,1990-10-03,USC,lynnfr01,lynnfr01,lynnf001,lynnfr01,lynnfr01,lynnfr01,1,4
