playerID,yearID,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
mathech01,1905,mathech01,1916,2,CIN,NL,1,1,5,1,3,1,0,0,1,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1905,WS,mathech01,NY1,NL,3,8,1,2,0,0,0,0,0,0,1,1,0,0,2,0,0
mathech01,1908,mathech01,1916,2,CIN,NL,1,1,5,1,3,1,0,0,1,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1912,WS,mathech01,NY1,NL,3,12,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
lajoina01,1901,lajoina01,1902,1,PHA,AL,1,1,4,0,1,0,0,0,1,1,NULL,0,NULL,NULL,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mathech01,1908,mathech01,1916,2,CIN,NL,1,1,5,1,3,1,0,0,1,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1911,WS,mathech01,NY1,NL,3,7,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0
martipe02,1999,martipe02,1992,1,LAN,NL,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2009,NLCS,martipe02,PHI,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaughhi01,1918,vaughhi01,1908,1,NYA,AL,2,2,1,0,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,2,1918,WS,vaughhi01,CHN,NL,3,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
wadderu01,1905,wadderu01,1901,1,PIT,NL,2,2,3,0,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
martipe02,1999,martipe02,1992,1,LAN,NL,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2004,WS,martipe02,BOS,AL,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
newhoha01,1945,newhoha01,1955,1,CLE,AL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1945,WS,newhoha01,DET,AL,3,8,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2
wadderu01,1905,wadderu01,1897,1,LS3,NL,2,2,6,0,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
vanceda01,1924,vanceda01,1918,1,NYA,AL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1934,WS,vanceda01,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newhoha01,1945,newhoha01,1955,1,CLE,AL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1954,WS,newhoha01,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hornsro01,1925,hornsro01,1936,1,SLA,AL,2,2,5,1,2,0,0,0,2,0,0,1,0,NULL,0,0,NULL,NULL,2,1929,WS,hornsro01,CHN,NL,5,21,4,5,1,1,0,1,0,0,1,8,0,0,0,0,0
hornsro01,1922,hornsro01,1936,1,SLA,AL,2,2,5,1,2,0,0,0,2,0,0,1,0,NULL,0,0,NULL,NULL,2,1926,WS,hornsro01,SLN,NL,7,28,2,7,1,0,0,4,1,0,2,2,0,0,1,0,1
hornsro01,1925,hornsro01,1936,1,SLA,AL,2,2,5,1,2,0,0,0,2,0,0,1,0,NULL,0,0,NULL,NULL,2,1926,WS,hornsro01,SLN,NL,7,28,2,7,1,0,0,4,1,0,2,2,0,0,1,0,1
hornsro01,1922,hornsro01,1936,1,SLA,AL,2,2,5,1,2,0,0,0,2,0,0,1,0,NULL,0,0,NULL,NULL,2,1929,WS,hornsro01,CHN,NL,5,21,4,5,1,1,0,1,0,0,1,8,0,0,0,0,0
alexape01,1916,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1926,WS,alexape01,SLN,NL,3,7,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
alexape01,1915,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1928,WS,alexape01,SLN,NL,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alexape01,1915,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1915,WS,alexape01,PHI,NL,2,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
alexape01,1920,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1926,WS,alexape01,SLN,NL,3,7,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
alexape01,1916,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1928,WS,alexape01,SLN,NL,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alexape01,1916,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1915,WS,alexape01,PHI,NL,2,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
alexape01,1915,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1926,WS,alexape01,SLN,NL,3,7,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
bondto01,1877,bondto01,1881,1,BSN,NL,3,3,10,0,2,0,0,0,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
alexape01,1920,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1928,WS,alexape01,SLN,NL,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alexape01,1920,alexape01,1918,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,NULL,0,2,NULL,0,0,NULL,NULL,3,1915,WS,alexape01,PHI,NL,2,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
