nameFirst,nameLast,awardID,yearID,Batting_Avg,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
Bob,Feller,"Triple Crown",1940,226,fellebo01,1940,1,CLE,AL,43,43,115,7,18,5,1,2,12,0,0,8,45,NULL,0,6,NULL,1,43
Lefty,Grove,"Triple Crown",1931,226,grovele01,1931,1,PHA,AL,41,41,115,8,23,3,0,0,12,0,0,3,48,NULL,0,4,NULL,NULL,41
Lefty,Gomez,"Triple Crown",1937,219,gomezle01,1937,1,NYA,AL,34,34,105,8,21,2,0,0,4,1,0,5,22,NULL,0,5,NULL,NULL,34
Rube,Waddell,"Triple Crown",1905,207,wadderu01,1905,1,PHA,AL,46,46,116,4,20,3,1,0,10,0,NULL,4,NULL,NULL,0,6,NULL,NULL,46
Pete,Alexander,"Triple Crown",1915,200,alexape01,1915,1,PHI,NL,49,49,130,9,22,3,0,1,8,0,1,6,23,NULL,0,5,NULL,NULL,49
Sandy,Koufax,"Triple Crown",1965,195,koufasa01,1965,1,LAN,NL,43,43,113,4,20,2,0,0,7,0,0,10,44,0,0,3,1,2,43
Christy,Mathewson,"Triple Crown",1908,186,mathech01,1908,1,NY1,NL,56,56,129,11,20,2,2,0,11,0,NULL,9,NULL,NULL,2,7,NULL,NULL,56
Dazzy,Vance,"Triple Crown",1924,170,vanceda01,1924,1,BRO,NL,35,35,106,7,16,0,0,2,11,0,0,10,29,NULL,1,8,NULL,NULL,35
Randy,Johnson,"Triple Crown",2002,169,johnsra05,2002,1,ARI,NL,35,34,89,4,12,3,0,0,8,0,0,3,40,0,0,6,1,3,34
Tim,Keefe,"Triple Crown",1888,155,keefeti01,1888,1,NY1,NL,51,51,181,10,23,3,0,2,8,3,NULL,4,56,NULL,0,NULL,NULL,NULL,51
Lefty,Gomez,"Triple Crown",1934,141,gomezle01,1934,1,NYA,AL,38,38,99,8,13,1,0,0,4,0,0,6,30,NULL,1,13,NULL,NULL,38
Sandy,Koufax,"Triple Crown",1966,102,koufasa01,1966,1,LAN,NL,41,41,118,5,9,3,0,0,5,0,0,5,57,0,0,0,1,1,41
Sandy,Koufax,"Triple Crown",1963,73,koufasa01,1963,1,LAN,NL,40,40,110,3,7,0,0,1,7,0,0,6,51,0,0,7,1,2,40
Roger,Clemens,"Triple Crown",1998,0,clemero02,1998,1,TOR,AL,33,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
Johan,Santana,"Triple Crown",2006,0,santajo01,2006,1,MIN,AL,34,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34
Pedro,Martinez,"Triple Crown",1999,0,martipe02,1999,1,BOS,AL,31,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
