playerID,awardID,yearID,lgID,tie,notes,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,COUNT(*)
barfije01,"Gold Glove",1986,AL,NULL,OF,599,barfije01,,,1959,10,29,USA,IL,Joliet,NULL,NULL,NULL,NULL,NULL,NULL,Jesse,Barfield,NULL,"Jesse Lee",NULL,205,73.0,R,R,1981-09-03,1992-06-17,,barfije01,barfije01,barfj001,barfije01,barfije01,2
batteea01,"Gold Glove",1960,AL,NULL,C,740,batteea01,,,1935,1,5,USA,CA,"Los Angeles",2003,11,15,USA,FL,Ocala,Earl,Battey,NULL,"Earl Jesse (Jr.)",NULL,205,73.0,R,R,1955-09-10,1967-09-27,,batteea01,batteea01,batte101,batteea01,batteea01,3
baylodo01,MVP,1979,AL,NULL,,771,baylodo01,baylodo01m,baylodo01h,1949,6,28,USA,TX,Austin,NULL,NULL,NULL,NULL,NULL,NULL,Don,Baylor,NULL,"Don Edward",NULL,195,73.0,R,R,1970-09-18,1988-10-01,"Blinn JC",baylodo01,baylodo01,bayld001,baylodo01,baylodo01,1
beckegl01,"Gold Glove",1968,NL,NULL,2B,826,beckegl01,,beckegl01h,1940,10,12,USA,PA,Pittsburgh,NULL,NULL,NULL,NULL,NULL,NULL,Glenn,Beckert,NULL,"Glenn Alfred",NULL,190,73.0,R,R,1965-04-12,1975-04-27,,beckegl01,beckegl01,beckg101,beckegl01,beckegl01,1
belanma01,"Gold Glove",1969,AL,NULL,SS,861,belanma01,,belanma01h,1944,6,8,USA,MA,Pittsfield,1998,10,6,USA,NY,"New York",Mark,Belanger,NULL,"Mark Henry",NULL,170,73.0,R,R,1965-08-07,1982-10-02,,belanma01,belanma01,belam101,belanma01,belanma01,8
bellbu01,"Gold Glove",1979,AL,NULL,3B,872,bellbu01,bellbu01m,bellbu01h,1951,8,27,USA,PA,Pittsburgh,NULL,NULL,NULL,NULL,NULL,NULL,Buddy,Bell,NULL,"David Gus",NULL,185,74.0,R,R,1972-04-15,1989-06-17,"Miami (FL)",bellbu01,bellbu01,bellb001,bellbu01,bellbu01,6
bellge02,MVP,1987,AL,NULL,,882,bellge02,,bellge02h,1959,10,21,D.R.,,"San Pedro de Macoris",NULL,NULL,NULL,NULL,NULL,NULL,George,Bell,NULL,"George Antonio (Mathey)",Liberty,190,73.0,R,R,1981-04-09,1993-10-02,,bellge02,bellge02,bellg001,bellge02,bellge02,1
bellja01,"Gold Glove",1993,NL,NULL,SS,885,bellja01,,bellja01h,1965,12,11,USA,FL,"Eglin A.F.B.",NULL,NULL,NULL,NULL,NULL,NULL,Jay,Bell,NULL,"Jay Stuart",NULL,185,73.0,R,R,1986-09-29,2003-09-28,,bellja01,bellja01,bellj001,bellja01,bellja01,1
beltrad01,"Gold Glove",2007,AL,NULL,3B,907,beltrad01,,,1979,4,7,D.R.,,"Santo Domingo",NULL,NULL,NULL,NULL,NULL,NULL,Adrian,Beltre,NULL,"Adrian (Perez)",NULL,170,71.0,R,R,1998-06-24,NULL,,beltrad01,beltrad01,belta001,beltrad01,beltrad01,2
beltrca01,"Gold Glove",2006,NL,NULL,OF,905,beltrca01,,,1977,4,24,P.R.,,Manati,NULL,NULL,NULL,NULL,NULL,NULL,Carlos,Beltran,NULL,NULL,NULL,190,73.0,B,R,1998-09-14,NULL,,beltrca01,beltrca01,beltc001,beltrca01,beltrca01,3
