playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
foxxji01,"Triple Crown",1933,AL,NULL,,foxxji01,1932,1,PHA,AL,154,154,585,151,213,33,9,58,169,3,7,116,96,NULL,0,0,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1934,1,NYA,AL,154,154,579,128,210,40,6,49,165,9,5,109,31,NULL,2,0,NULL,NULL,154
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1928,1,NYA,AL,154,154,562,139,210,47,13,27,142,4,11,95,69,NULL,4,16,NULL,NULL,154
kleinch01,"Triple Crown",1933,NL,NULL,,kleinch01,1932,1,PHI,NL,154,154,650,152,226,50,15,38,137,20,NULL,60,49,NULL,1,0,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1929,1,NYA,AL,154,154,553,127,166,32,10,35,126,4,4,122,68,NULL,5,12,NULL,NULL,154
medwijo01,"Triple Crown",1937,NL,NULL,,medwijo01,1935,1,SLN,NL,154,154,634,132,224,46,13,23,126,4,NULL,30,59,NULL,4,2,NULL,15,154
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1921,1,SLN,NL,154,154,592,131,235,44,18,21,126,13,13,60,48,NULL,7,15,NULL,NULL,154
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1921,1,SLN,NL,154,154,592,131,235,44,18,21,126,13,13,60,48,NULL,7,15,NULL,NULL,154
foxxji01,"Triple Crown",1933,AL,NULL,,foxxji01,1930,1,PHA,AL,153,153,562,127,188,33,13,37,156,7,7,93,66,NULL,0,18,NULL,NULL,153
mantlmi01,"Triple Crown",1956,AL,NULL,,mantlmi01,1961,1,NYA,AL,153,153,514,132,163,16,6,54,128,12,1,126,112,9,0,1,5,2,153
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1961,1,CIN,NL,153,153,545,117,176,32,7,37,124,22,3,71,64,23,10,0,10,15,153
mantlmi01,"Triple Crown",1956,AL,NULL,,mantlmi01,1960,1,NYA,AL,153,153,527,119,145,17,6,40,94,14,3,111,125,6,1,0,5,11,153
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1933,1,NYA,AL,152,152,593,138,198,41,12,32,139,9,13,92,42,NULL,1,1,NULL,NULL,152
kleinch01,"Triple Crown",1933,NL,NULL,,kleinch01,1933,1,PHI,NL,152,152,606,101,223,44,7,28,120,15,NULL,56,36,NULL,1,4,NULL,3,152
duffyhu01,"Triple Crown",1894,NL,NULL,,duffyhu01,1898,1,BSN,NL,152,152,568,97,169,13,3,8,108,29,NULL,59,NULL,NULL,1,17,NULL,NULL,152
cobbty01,"Triple Crown",1909,AL,NULL,,cobbty01,1917,1,DET,AL,152,152,588,107,225,44,24,6,102,55,NULL,61,34,NULL,4,16,NULL,NULL,152
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1973,1,BOS,AL,152,152,540,82,160,25,4,19,95,9,7,105,58,13,0,1,6,19,152
lajoina01,"Triple Crown",1901,AL,NULL,,lajoina01,1906,1,CLE,AL,152,152,602,88,214,48,9,0,91,20,NULL,30,NULL,NULL,6,17,NULL,NULL,152
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1956,1,CIN,NL,152,152,572,122,166,27,6,38,83,8,4,64,95,7,20,8,4,14,152
