id,type,parentid
1Jx7D-1kfMZ7q7jZjplbW_OiLWub8kKxGrqQDgpeXdcA,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1aIoF2j_Q6LIHonHwzeEir8Ue7Gd3aoNTb8OMnQBb4_o,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1hDMq1s3iAF4j7a-Z4ApvypROdlHHhCb1E2ULLFjtIU0,presentation,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1bi6ANu6UQrUcSFraw4I3aZ4i4HAYMiCnPI_6bDDyRAY,spreadsheet,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1uSim974Qyub-DzMLQOfEJDBnkFMvmODVrz01BCLLTYQ,document,0AFqO9IFXquq6Uk9PVA
1OUy3k3BjMjoWSvzSuTbmmovHdVHrCL51kDmbpoaPKp0,document,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6eFQ3UUI5QVN6QlZ4ZGd4LUk1ZmxKUGVFQ0hJ,file,0AFqO9IFXquq6Uk9PVA
1joQ0kgay7pwGv2uiKooOG8a1xiUme3XkrpF_2dGLByc,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6ZEUxX2FUNkVrbzA,file,0AFqO9IFXquq6Uk9PVA
1GFL-vMLP9rQG0yRCD6xzWkI483unytA5l7k92gEVcec,spreadsheet,0AFqO9IFXquq6Uk9PVA
1EwNivmQxP26szigwXXP5Sxu-emrykm1RdwUz343LZbA,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6SEhGaHdqbmg0TE44UnlIR2puSzI2M3pRU2Zr,file,0AFqO9IFXquq6Uk9PVA
1Y1uHCiJ_3H7lN7bVQf6vKE7s2v9smwXy1V8lYFgYy88,document,0B1qO9IFXquq6flc1SWUyaFJJRkxyVWpQTTgyeXRjM1kwNHNwVWVkamVRcE80UU5kSWpDTDA
0B1qO9IFXquq6flc1SWUyaFJJRkxyVWpQTTgyeXRjM1kwNHNwVWVkamVRcE80UU5kSWpDTDA,folder,0AFqO9IFXquq6Uk9PVA
1z2Fpu43s6sLidpImS3rZR8MEdifKOnQvrqeTwHEyfp8,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6NGFwMmw1dVd3Rld3anA2Y2VRTmFzWVZXdm1V,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6VlU2aDI4WmpNOHhVSFNYQUl6ekNPQW1ONVRN,file,0AFqO9IFXquq6Uk9PVA
0B9fpFUHuMSE-NERFRzNWejFwUTg,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B1qO9IFXquq6bGItVE5GZlppZk5tU2Jzbk5pR0kyamI5ejhv,file,0AFqO9IFXquq6Uk9PVA
