date,bitcoin
2011-09-03,4
2011-09-04,5
2011-09-05,5
2011-09-06,5
2011-09-07,5
2011-09-08,5
2011-09-09,5
2011-09-10,5
2011-09-11,4
2011-09-12,4
2011-09-13,4
2011-09-14,4
2011-09-15,4
2011-09-16,4
2011-09-17,4
2011-09-18,4
2011-09-19,4
2011-09-20,4
2011-09-21,4
2011-09-22,4
2011-09-23,4
2011-09-24,4
2011-09-25,3
2011-09-26,3
2011-09-27,3
2011-09-28,3
2011-09-29,3
2011-09-30,3
2011-10-01,3
2011-10-02,3
2011-10-03,3
2011-10-04,3
2011-10-05,3
2011-10-06,3
2011-10-07,3
2011-10-08,3
2011-10-09,3
2011-10-10,3
2011-10-11,3
2011-10-12,3
2011-10-13,3
2011-10-14,3
2011-10-15,3
2011-10-16,3
2011-10-17,3
2011-10-18,3
2011-10-19,3
2011-10-20,3
2011-10-21,3
2011-10-22,3
2011-10-23,3
2011-10-24,3
2011-10-25,3
2011-10-26,3
2011-10-27,3
2011-10-28,3
2011-10-29,3
2011-10-30,3
2011-10-31,3
2011-11-01,3
2011-11-02,3
2011-11-03,3
2011-11-04,3
2011-11-05,3
2011-11-06,2
2011-11-07,2
2011-11-08,2
2011-11-09,2
2011-11-10,2
2011-11-11,2
2011-11-12,2
2011-11-13,2
2011-11-14,2
2011-11-15,2
2011-11-16,2
2011-11-17,2
2011-11-18,2
2011-11-19,2
2011-11-20,2
2011-11-21,2
2011-11-22,2
2011-11-23,2
2011-11-24,2
2011-11-25,2
2011-11-26,2
2011-11-27,2
2011-11-28,2
2011-11-29,2
2011-11-30,2
2011-12-01,2
2011-12-02,2
2011-12-03,2
2011-12-04,2
2011-12-05,2
2011-12-06,2
2011-12-07,2
2011-12-08,2
2011-12-09,2
2011-12-10,2
2011-12-11,2
2011-12-12,2
2011-12-13,2
2011-12-14,2
2011-12-15,2
2011-12-16,2
2011-12-17,2
2011-12-18,2
2011-12-19,2
2011-12-20,2
2011-12-21,2
2011-12-22,2
2011-12-23,2
2011-12-24,2
2011-12-25,2
2011-12-26,2
2011-12-27,2
2011-12-28,2
2011-12-29,2
2011-12-30,2
2011-12-31,2
2012-01-01,2
2012-01-02,2
2012-01-03,2
2012-01-04,2
2012-01-05,2
2012-01-06,2
2012-01-07,2
2012-01-08,2
2012-01-09,2
2012-01-10,2
2012-01-11,2
2012-01-12,2
2012-01-13,2
2012-01-14,2
2012-01-15,4
2012-01-16,4
2012-01-17,4
2012-01-18,4
2012-01-19,4
2012-01-20,4
2012-01-21,4
2012-01-22,3
2012-01-23,3
2012-01-24,3
2012-01-25,3
2012-01-26,3
2012-01-27,3
2012-01-28,3
2012-01-29,3
2012-01-30,3
2012-01-31,3
2012-02-01,3
2012-02-02,3
2012-02-03,3
2012-02-04,3
2012-02-05,2
2012-02-06,2
2012-02-07,2
2012-02-08,2
2012-02-09,2
2012-02-10,2
2012-02-11,2
2012-02-12,2
2012-02-13,2
2012-02-14,2
2012-02-15,2
2012-02-16,2
2012-02-17,2
2012-02-18,2
2012-02-19,2
2012-02-20,2
2012-02-21,2
2012-02-22,2
2012-02-23,2
2012-02-24,2
2012-02-25,2
2012-02-26,2
2012-02-27,2
2012-02-28,2
2012-02-29,2
2012-03-01,2
2012-03-02,2
2012-03-03,2
2012-03-04,2
2012-03-05,2
2012-03-06,2
2012-03-07,2
2012-03-08,2
2012-03-09,2
2012-03-10,2
2012-03-11,2
2012-03-12,2
2012-03-13,2
2012-03-14,2
2012-03-15,2
2012-03-16,2
2012-03-17,2
2012-03-18,2
2012-03-19,2
2012-03-20,2
2012-03-21,2
2012-03-22,2
2012-03-23,2
2012-03-24,2
2012-03-25,2
2012-03-26,2
2012-03-27,2
2012-03-28,2
2012-03-29,2
2012-03-30,2
2012-03-31,2
2012-04-01,3
2012-04-02,3
2012-04-03,3
2012-04-04,3
2012-04-05,3
2012-04-06,3
2012-04-07,3
2012-04-08,2
2012-04-09,2
2012-04-10,2
2012-04-11,2
2012-04-12,2
2012-04-13,2
2012-04-14,2
2012-04-15,2
2012-04-16,2
2012-04-17,2
2012-04-18,2
2012-04-19,2
2012-04-20,2
2012-04-21,2
2012-04-22,3
2012-04-23,3
2012-04-24,3
2012-04-25,3
2012-04-26,3
2012-04-27,3
2012-04-28,3
2012-04-29,2
2012-04-30,2
2012-05-01,2
2012-05-02,2
2012-05-03,2
2012-05-04,2
2012-05-05,2
2012-05-06,3
2012-05-07,3
2012-05-08,3
2012-05-09,3
2012-05-10,3
2012-05-11,3
2012-05-12,3
2012-05-13,2
2012-05-14,2
2012-05-15,2
2012-05-16,2
2012-05-17,2
2012-05-18,2
2012-05-19,2
2012-05-20,2
2012-05-21,2
2012-05-22,2
2012-05-23,2
2012-05-24,2
2012-05-25,2
2012-05-26,2
2012-05-27,2
2012-05-28,2
2012-05-29,2
2012-05-30,2
2012-05-31,2
2012-06-01,2
2012-06-02,2
2012-06-03,2
2012-06-04,2
2012-06-05,2
2012-06-06,2
2012-06-07,2
2012-06-08,2
2012-06-09,2
2012-06-10,3
2012-06-11,3
2012-06-12,3
2012-06-13,3
2012-06-14,3
2012-06-15,3
2012-06-16,3
2012-06-17,2
2012-06-18,2
2012-06-19,2
2012-06-20,2
2012-06-21,2
2012-06-22,2
2012-06-23,2
2012-06-24,2
2012-06-25,2
2012-06-26,2
2012-06-27,2
2012-06-28,2
2012-06-29,2
2012-06-30,2
2012-07-01,2
2012-07-02,2
2012-07-03,2
2012-07-04,2
2012-07-05,2
2012-07-06,2
2012-07-07,2
2012-07-08,3
2012-07-09,3
2012-07-10,3
2012-07-11,3
2012-07-12,3
2012-07-13,3
2012-07-14,3
2012-07-15,3
2012-07-16,3
2012-07-17,3
2012-07-18,3
2012-07-19,3
2012-07-20,3
2012-07-21,3
2012-07-22,2
2012-07-23,2
2012-07-24,2
2012-07-25,2
2012-07-26,2
2012-07-27,2
2012-07-28,2
2012-07-29,3
2012-07-30,3
2012-07-31,3
2012-08-01,3
2012-08-02,3
2012-08-03,3
2012-08-04,3
2012-08-05,3
2012-08-06,3
2012-08-07,3
2012-08-08,3
2012-08-09,3
2012-08-10,3
2012-08-11,3
2012-08-12,4
2012-08-13,4
2012-08-14,4
2012-08-15,4
2012-08-16,4
2012-08-17,4
2012-08-18,4
2012-08-19,4
2012-08-20,4
2012-08-21,4
2012-08-22,4
2012-08-23,4
2012-08-24,4
2012-08-25,4
2012-08-26,3
2012-08-27,3
2012-08-28,3
2012-08-29,3
2012-08-30,3
2012-08-31,3
2012-09-01,3
2012-09-02,5
2012-09-03,5
2012-09-04,5
2012-09-05,5
2012-09-06,5
2012-09-07,5
2012-09-08,5
2012-09-09,3
2012-09-10,3
2012-09-11,3
2012-09-12,3
2012-09-13,3
2012-09-14,3
2012-09-15,3
2012-09-16,3
2012-09-17,3
2012-09-18,3
2012-09-19,3
2012-09-20,3
2012-09-21,3
2012-09-22,3
2012-09-23,3
2012-09-24,3
2012-09-25,3
2012-09-26,3
2012-09-27,3
2012-09-28,3
2012-09-29,3
2012-09-30,3
2012-10-01,3
2012-10-02,3
2012-10-03,3
